# HEADER
SERVER_TIME,2026.03.27 13:19:23
SYMBOL,XAUUSD
BID,4439.942
ASK,4440.158

# OPEN_POSITIONS (Ticket,Type,Vol,Open,Profit)
NONE,NONE,0,0,0

# PENDING_ORDERS (Ticket,Type,Vol,Price)
NONE,NONE,0,0

# CLOSED_HISTORY (Ticket,Type,Vol,Profit)
1500616694,BUY_EXIT,0.01,-5.90
1500616624,SELL_EXIT,0.01,-2.16
1500206831,SELL_EXIT,0.01,-38.24
1496467719,BUY_EXIT,0.01,-14.47
1496212681,SELL_EXIT,0.01,-6.11

# HISTORY_M5 (Time,Open,High,Low,Close)
13:10,4429.311,4431.355,4423.768,4428.931
13:05,4433.608,4435.816,4428.859,4429.258
13:00,4437.847,4443.792,4431.209,4433.511
12:55,4439.546,4442.099,4437.466,4437.791
12:50,4439.559,4445.381,4439.265,4439.603
12:45,4433.408,4439.701,4433.408,4439.526
12:40,4433.596,4437.458,4432.564,4433.326
12:35,4426.393,4436.384,4424.700,4433.570
12:30,4429.492,4430.740,4424.608,4426.454
12:25,4422.700,4429.863,4421.980,4429.511
12:20,4425.185,4425.185,4416.798,4422.749
12:15,4424.980,4434.394,4424.781,4425.258
12:10,4418.378,4426.994,4417.310,4424.713
12:05,4422.652,4422.956,4412.720,4418.220
12:00,4419.917,4424.218,4419.039,4422.732
11:55,4424.869,4426.412,4415.768,4419.864
11:50,4423.118,4425.758,4418.450,4424.810
11:45,4421.308,4425.053,4418.827,4423.172
11:40,4416.482,4421.595,4413.779,4421.239
11:35,4415.685,4419.755,4413.747,4416.527
11:30,4415.422,4416.095,4413.708,4415.961
11:25,4411.542,4416.287,4410.685,4415.377
11:20,4410.684,4413.837,4408.703,4411.564
11:15,4413.014,4417.324,4407.848,4410.502
11:10,4410.094,4414.770,4408.853,4412.958
11:05,4409.792,4412.098,4404.256,4410.141
11:00,4414.807,4417.390,4409.354,4409.935
10:55,4417.625,4417.894,4411.271,4414.925
10:50,4415.771,4419.067,4410.524,4417.664
10:45,4415.886,4417.336,4411.424,4415.822
10:40,4421.994,4423.077,4412.392,4415.830
10:35,4426.902,4427.929,4421.096,4422.224
10:30,4429.194,4430.445,4424.809,4426.821
10:25,4428.589,4431.480,4426.864,4429.091
10:20,4427.182,4429.434,4423.742,4428.343
10:15,4425.903,4428.883,4423.761,4427.117
10:10,4429.401,4429.401,4424.078,4426.077
10:05,4427.460,4432.004,4426.729,4429.345
10:00,4428.971,4433.034,4426.038,4427.437
09:55,4429.384,4430.527,4426.930,4428.950
09:50,4430.871,4432.807,4428.788,4429.312
09:45,4432.918,4432.918,4428.600,4430.814
09:40,4433.272,4433.854,4430.138,4432.757
09:35,4434.012,4436.647,4431.071,4433.423
09:30,4434.293,4438.406,4433.084,4433.963
09:25,4431.662,4436.368,4430.748,4434.539
09:20,4433.052,4434.427,4429.984,4431.682
09:15,4429.569,4435.682,4428.484,4433.053
09:10,4423.260,4431.107,4420.833,4429.478
09:05,4426.710,4429.616,4422.266,4423.317
09:00,4424.257,4430.861,4424.109,4426.758
08:55,4432.039,4432.766,4423.740,4424.303
08:50,4434.563,4438.394,4427.178,4432.292
08:45,4435.152,4438.912,4432.367,4434.453
08:40,4433.682,4440.105,4433.404,4435.174
08:35,4431.288,4435.834,4428.864,4433.831
08:30,4434.039,4437.496,4430.196,4431.245
08:25,4437.197,4437.681,4430.594,4433.998
08:20,4440.632,4443.652,4436.239,4437.204
08:15,4447.123,4447.372,4438.864,4440.674
08:10,4446.084,4447.817,4443.750,4446.952
08:05,4444.142,4449.499,4443.149,4446.177
08:00,4447.575,4450.994,4442.687,4444.179
07:55,4443.892,4448.135,4443.755,4447.676
07:50,4451.201,4451.613,4442.694,4443.860
07:45,4448.259,4453.215,4447.459,4451.139
07:40,4453.157,4453.337,4446.560,4448.302
07:35,4451.381,4456.067,4450.785,4453.181
07:30,4452.320,4452.385,4448.443,4451.281
07:25,4454.900,4457.262,4450.113,4452.202
07:20,4452.941,4457.079,4452.603,4454.869
07:15,4454.856,4455.122,4451.136,4452.875
07:10,4455.589,4458.249,4452.398,4454.864
07:05,4451.442,4456.755,4447.676,4455.633
07:00,4459.751,4463.008,4450.338,4451.250
06:55,4462.830,4464.988,4457.254,4459.600
